year, genre 
2013,Indie pop
1997,Pop music
1997,Pop rock
2013,J-pop
2001,J-pop
2003,Rhythm and blues
2011,J-pop
2004,Pop music
2004,J-pop
2004,J-pop
1992,Pop music
1992,Electro (music)
1992,Contemporary R&B
1992,Dubstep
1992,Hip hop music
1996,J-pop
1986,Pop music
1986,Rock music
2000,J-pop
2008,Folk music
2008,J-pop
2004,J-pop
2007,Pop music
2007,Rock music
2007,Alternative rock
2000,Art rock
2000,Indie rock
2000,Baroque pop
1985,Folk music
1985,Serer language
1985,Njuup
1985,West Africa
1985,Christian music
1996,Folk music
1996,Folk music of Ireland
1995,Disco
1995,Electropop
1995,Dance-pop
1995,Art pop
1995,Electronic music
1995,Avant-garde music
2007,Folk music
1996,Pop music
2008,Alternative rock
2008,Soft rock
2008,Music of the Philippines
1987,Pop music
1964,Carnatic music
2011,Hip hop music
2003,Jingle
1980,Turkish folk music
1933,Country music
1933,Rockabilly
1988,Jazz
1972,Indian classical music
1972,Hindustani classical music
1986,World music
1986,Carnatic music
1986,Filmi
1975,Punk rock
1975,Rock music
2007,Pop music
2007,Soul music
1990,Blues
1990,World music
1990,Country blues
1990,Blues rock
1990,African blues
1990,Music of Africa
1990,Acoustic music
1960,Pop music
1960,Rock and roll
1960,Pinoy rock
1960,Jazz
1960,Music of the Philippines
1990,Hip hop music
1955,Chanson
1960,Folk music
1960,Music in the Chechen Republic
2004,Pop music
2004,Latin pop
1963,Tejano music
1963,Norteño (music)
1963,Conjunto
2007,Pop music
2005,Blues
2005,Jazz
2005,Experimental music
2004,Pop-rap
2004,Hip hop music
1982,Jazz
1970,Pop music
1970,Rock music
1970,Surf music
1970,Baroque pop
2006,Rhythm and blues
2006,Hip hop music
2006,Ethnic group
1968,Country music
1995,Death metal
1995,Thrash metal
1995,Groove metal
1965,Psychedelic rock
1965,Art rock
1965,Progressive rock
1980,Heavy metal music
1980,Hard rock
1980,Glam metal
1970,Instrumental rock
1970,Jazz fusion
1970,Blues rock
1970,Roots rock
1970,Jam band
1975,Disco
1975,Rhythm and blues
1975,Smooth jazz
1975,Jazz
1978,Country music
1978,Folk music
1978,Bluegrass music
1978,Red Dirt (music)
1962,Pop music
1962,Rock and roll
1993,Rhythm and blues
1993,Soul music
2004,Country music
2004,Bro-country
1983,Pop music
1983,Rock music
1983,Jazz fusion
1983,Contemporary R&B
1983,Jazz
1971,Pop music
1971,Rhythm and blues
1971,New jack swing
1975,Heavy metal music
1975,Progressive rock
1975,Hard rock
1975,Acoustic music
1977,Disco
1977,Pop music
1971,Contemporary Christian music
1971,Jesus music
1961,Rock music
1961,Country rock
2009,Country music
1961,Soft rock
1961,Roots rock
1961,Comedy rock
1961,Film score
1972,Country music
1972,Bluegrass music
1972,Southern rock
1986,Pop music
1986,Music of the Philippines
1958,Folk music
1971,Folk music
1971,Pop music
1971,Contemporary Christian music
1978,Country music
1978,Gospel music
1978,Soft rock
2005,Pop music
2003,Hip hop music
1999,Pop music
1999,Soul music
1999,Contemporary R&B
1999,Hip hop music
2012,Bhangra (music)
2012,Folk music
2002,Playback singer
1980,Reggae
1980,Dancehall
1978,Punk rock
1978,Ska
1978,Electronica
1974,Reggae
2010,Rhythm and blues
2010,Hip hop music
2010,K-pop
1959,Pop music
1959,Latin ballad
2005,Blues
2005,Jazz
1983,Soul music
1983,Neo soul
1983,Contemporary R&B
2006,Art rock
2006,Ambient music
2006,Indie rock
2006,Electronic music
2000,Folk music
2000,Pop rock
2000,Chanson
2000,French rock
1988,G-funk
1988,Hip hop music
1989,Hip hop music
2007,Hip hop music
1998,Pop music
1998,Hip hop music
1980,World music
1980,Jazz
2006,Pop music
2006,Pop rock
1956,Folk music
1956,Pop music
1956,World music
1956,Mariachi
2012,Latin pop
1997,Fado
2000,Power pop
2000,Pop rock
2000,Celtic music
1994,Hip hop music
1974,Disco
1974,Reggae
2000,Blues
2000,Pop music
2000,Jazz
1998,Hip hop music
2001,Meykhana
1997,Crunk
1997,Hip hop music
1933,Folk music
1933,Classical music
1977,Hindustani classical music
1998,Film score
2009,Pop music
2003,Pop rock
1976,New wave music
1976,Punk rock
2005,Canadian hip hop
1940,Thumri
1940,Bhajan
1940,Khyal
1999,Dhrupad
1999,Tarana
1999,Bhajan
1999,Khyal
1999,Tappa
1999,Haveli Sangeet
1999,Music of Rajasthan
1994,Thai pop music
1954,Country music
1989,Salsa music
1989,Traditional pop music
1989,Tejano music
1989,Western swing
1989,Swing revival
1989,Country pop
1989,Neotraditional country
1989,Americana (music)
1989,Vocal jazz
1993,Flamenco
1993,Soul music
1993,Latin music (genre)
1993,Jazz
1963,Psychedelic rock
1963,Rock and roll
1963,Country rock
1963,Folk rock
1963,Rockabilly
1963,Acid rock
1963,Blues rock
1963,Brazilian rock
1963,Forró
1963,Baião (music)
1963,Música popular brasileira
1966,Rock and roll
1966,Schlager music
1966,Finnish rock
2014,Soul music
2014,Folk rock
2014,Hip hop music
2014,Alternative R&B
2014,Independent music
2001,Alternative rock
2001,Anti-folk
2001,Jewish rock music
1971,Indian classical music
1971,Playback singer
1972,Playback singer
1999,Playback singer
2002,Christian hip hop
1989,World music
1989,Dance-pop
1989,Pop rock
1989,Latin pop
2012,Pop music
1980,Progressive metal
1980,Power metal
1964,Rock and roll
1964,Progressive rock
1969,Country music
1969,Western swing
1986,Contemporary Christian music
2005,Hardcore hip hop
2005,Midwest hip hop
2005,Hip hop music
1947,Blues
1947,Country music
1947,Pop music
1947,Rock and roll
1947,Rhythm and blues
1947,Soul music
1947,Gospel music
1947,Jazz
1966,Blues
1966,Country music
1966,Rockabilly
1966,Western swing
1966,Jazz
2011,Pop music
2011,Gospel music
2011,Contemporary R&B
2011,Hip hop music
1963,Pop music
1963,Rock music
1960,Folk music
1938,Big band
1938,Traditional pop music
1938,Swing music
1978,Heavy metal music
1978,Hard rock
1978,Blues rock
1964,Country music
1994,Country music
1989,Pop music
1989,Contemporary R&B
1989,Hip hop music
1980,Country music
1915,Music of Hawaii
1989,Gangsta rap
1989,West Coast hip hop
1961,Blues
1961,Funk
1961,Psychedelic rock
1961,Rock and roll
1961,Hard rock
1961,Jazz fusion
1961,Acid rock
1961,Blues rock
1961,Electronic music
1971,Funk
1971,Rhythm and blues
1971,Soul music
1971,Jazz fusion
1958,Country music
1958,Rock and roll
1958,Traditional pop music
1958,Rockabilly
1960,Pop music
1948,Country music
1948,Traditional pop music
1948,Western swing
1964,Country music
1964,Rhythm and blues
1964,Contemporary Christian music
1964,Gospel music
1964,Jazz
1964,Classical music
1950,Country music
2003,Country music
1956,Rock and roll
1956,Rhythm and blues
1956,Rockabilly
2008,Dancehall
2008,Contemporary R&B
2008,Music of Africa
1958,Disco
1958,Rhythm and blues
1991,House music
1991,Hi-NRG
1991,Dance-pop
1991,Eurodance
1991,Hip hop music
1956,Country music
1956,Rock and roll
1956,Rhythm and blues
1956,Rockabilly
1958,Country music
1958,Pop music
1958,Novelty song
2001,Emo
2001,Hard rock
2001,Alternative rock
2001,Pop punk
2001,Post-hardcore
2001,Electronic rock
1986,Country music
1976,Reggae
1976,Roots reggae
1976,Lovers rock
1980,Funk
1980,Rock music
1980,Alternative rock
1980,Jazz
1990,Pop music
1990,Rock music
1990,Post-grunge
1965,Country music
1965,Folk music
1965,Red Dirt (music)
2003,Arabic
1980,Pop music
2010,Alternative country
2010,Americana (music)
1997,Electronica
1997,Hip hop music
2003,Pop music
1998,Hip hop music
2008,Rhythm and blues
2008,Soul music
2008,Hip hop music
1991,Reggae
1991,Dancehall
2005,Pop music
2005,Contemporary R&B
2009,Hip hop music
1990,Arabic music
1977,Punk rock
1977,Rock music
1977,Glam rock
1977,Hard rock
1977,Glam metal
1977,Glam punk
1966,Country music
1998,Latin pop
1993,Electropop
1993,Alternative dance
1965,Contemporary Christian music
1965,Southern gospel
1965,Christian music
1980,Folk music
1980,Soul music
1980,Worldbeat
1980,Jewish rock music
1980,Jazz
1974,Pop music
1974,Soul music
1974,Contemporary R&B
1981,Latin music (genre)
1981,Afro-Caribbean music
1996,Pop music
1996,Latin pop
2010,Pop music
2010,Blues
2010,Pop music
2010,Soul music
2010,Contemporary R&B
2010,Jazz
1996,Post-rock
1996,Avant-garde music
2004,Indie rock
1997,Country music
1990,Jazz
1995,Country music
1984,Ambient music
1984,Alternative rock
1984,Experimental music
2005,Folk music
2005,Musical theatre
2005,Crossover music
2005,Classical music
1985,Jazz
2008,Country music
2008,Folk music
2008,Rock music
2008,Americana (music)
2012,Pop music
1987,Christian rock
1987,Contemporary Christian music
2003,Indie pop
2004,Music of Myanmar
2003,Pop music
2003,Dance music
1994,Latin jazz
1994,Soft rock
1994,Easy listening
2008,Folk music
2008,Acoustic music
1999,Blues
1999,Pop music
1999,Rhythm and blues
1999,Soul music
2008,Contemporary R&B
2008,Hip hop music
2012,Christian hip hop
2012,Political hip hop
2012,Hip hop music
2010,Hip hop music
2010,K-pop
2010,Electronic dance music
1950,Country music
1950,Bluegrass music
1999,Hip hop music
2000,Christian hip hop
2000,Underground hip hop
1980,Reggae
1980,Dancehall
1930,Country music
1930,Rhythm and blues
1930,Gospel music
1930,Rockabilly
1930,Boogie
1981,Children's music
1936,Country music
1960,Blues
1960,Country music
1940,Western swing
2010,Music of Detroit
1966,Country music
1935,Country music
1998,Contemporary R&B
1998,Hip hop music
1968,Country music
1950,Blues
1950,Country music
1950,Rock and roll
1950,Rhythm and blues
1950,Jazz
1988,Blues
1988,Soul music
1999,Christian hip hop
1990,Hip hop music
2001,Hip hop music
2005,Grime music
2005,Dubstep
2005,Hip hop music
2011,Pop rock
1982,Heavy metal music
1982,Hardcore punk
1982,Sludge metal
1982,Crossover thrash
1982,Stoner rock
1998,Hip hop music
1998,West Coast hip hop
1998,Hyphy
1998,Hip hop music
2006,Hip hop music
2008,Afro pop music
2009,Hip hop music
2003,Folk music
2003,Pop music
2003,World music
2003,Music of Bollywood
2011,Go-go
2011,Neo soul
2011,Contemporary R&B
2011,Hip hop music
1998,Country music
1999,Indie rock
1999,Alternative rock
1999,Blues rock
1964,Pop music
1964,Blue-eyed soul
1951,Australian country music
1986,Folk music
1960,Pop music
1960,Rock music
1974,Folk music
1974,Pop music
1974,Rock music
1969,Jazz fusion
1990,Hiplife
1990,Hip hop music
1975,Disco
1975,Pop music
1990,Pop music
1990,Christian music
1995,Eurodance
1995,Dance music
1942,Opera
2001,Anti-folk
2001,Indie pop
2001,Baroque pop
2001,Indie folk
2001,Jazz
1964,Rock music
1964,Brega
1999,Pop music
1999,Eurodance
1999,Jazz
1999,Dance music
1969,Blues
1969,Rock music
1969,Rhythm and blues
1995,Pop music
1995,Indie rock
1995,Folk rock
1995,Singer-songwriter
2006,Indie pop
2011,J-pop
1984,J-pop
1998,Dance music
1965,Folk music
1965,Skiffle
1965,Chanson
2013,Rhythm and blues
2013,Hip hop music
1997,Playback singer
1997,Music of Bollywood
1999,Hip hop music
1997,Soul music
1997,Contemporary R&B
1997,Hip hop music
2010,Rhythm and blues
2011,Dubstep
2011,Acoustic music
2006,Indie pop
2006,Acoustic music
2008,Hip hop music
2008,African popular music
1993,Reggae
1993,Hip hop music
1998,Hip hop music
2001,Neo soul
2001,Blue-eyed soul
2001,Contemporary R&B
2011,Soul music
2011,Indie pop
2011,Pop rock
1983,Country music
2010,J-pop
1967,Music of Greece
1967,Laïko
1967,Greek New Wave
2008,J-pop
1955,Traditional pop music
1954,Rock and roll
1954,Rhythm and blues
2007,Pop music
1995,Pop music
1995,Dance-pop
1978,Punk rock
1978,Alternative rock
1978,Folk rock
1978,Post-punk
1965,Rock and roll
1965,Soul music
1965,Pop rock
1975,Country music
1975,Pop music
1975,Rock music
1975,Chanson
2014,Hip hop music
1994,Jazz
1983,Pop music
1997,Country music
1997,Rhythm and blues
1997,Gospel music
1997,Soul blues
1971,Reggae
1971,Rocksteady
1984,Alternative rock
1984,Madchester
2006,Pop music
2006,Rock music
2006,Alternative rock
2010,Pop music
2010,Rhythm and blues
1936,Ryūkōka
2008,Pop music
2008,A cappella
2008,Jazz
2008,Opera
1977,Rock music
1977,Glam rock
1977,Hard rock
1977,Power pop
1989,Europop
1989,Dance-pop
1989,Eurodance
1999,Jazz
1980,Soul music
1980,Contemporary R&B
1970,Pop music
1970,Soul music
1970,Contemporary R&B
1970,Jazz
1989,Pop music
1989,Rock music
1989,Pop rock
2003,Rhythm and blues
2003,Soul music
2003,Hip hop music
2004,Hip hop music
2004,Urban contemporary
1996,Gospel music
1996,Instrumental
2000,Hip hop music
1980,Blues
1980,Rock and roll
1980,Rockabilly
1980,Psychobilly
1980,Blues
1980,Country music
1980,Rock music
2001,Blues
2001,Country music
2001,Folk music
2001,Psychedelic rock
2001,Country blues
1930,Country blues
1930,Gospel blues
1996,Hip hop music
1983,Pop music
1983,Rock music
1974,Country music
1974,Nashville sound
1954,Country music
1954,Rock and roll
1954,Operetta
1954,Bush ballad
1954,Rhythm and blues
1954,Soul music
1930,Country music
1955,Southern gospel
1972,Pop music
1972,Soft rock
1992,Salsa music
1977,Manila Sound
2002,Reggaeton
1997,Latin rock
1997,Latin pop
1973,Joropo
1967,Rock music
1967,Pop rock
1967,Jazz
1967,Gypsy jazz
1992,Pop music
1998,Pop music
1998,Rock music
2008,Pop rock
1985,Folk music
1995,Hip hop music
2006,Horror fiction
2006,Comedy
2006,Fantasy
2006,Drama
2006,Action (fiction)
2010,Gospel music
1992,Country music
1981,Heavy metal music
1981,Hard rock
1989,Alternative country
2002,Pop music
2002,Contemporary R&B
2005,Blues
2005,Country music
2005,Folk music
2005,Rhythm and blues
2005,Bluegrass music
2005,Soul music
2005,Gospel music
2005,Jazz
2005,Americana (music)
2005,Celtic music
1967,Dangdut
1970,Country music
1970,Bluegrass music
1970,Gospel music
2007,Wagnerian rock
2007,Musical theatre
2007,Opera
2007,Crossover music
2007,Operatic pop
1996,Hip hop music
2012,Pop music
2012,Contemporary history
2007,Pop music
2007,Rhythm and blues
2007,Soul music
1979,Girl group
1979,Jazz
2011,Reggae
2012,Neo soul
2012,Contemporary R&B
2012,Hip hop music
2012,Acoustic music
1978,Pop music
2004,Art rock
2004,Progressive rock
2004,Pop rock
1973,New wave music
1973,Rock music
1962,Country music
1958,Gaita zuliana
1985,Latin pop
1998,Instrumental rock
1998,Pop rock
1990,Salsa music
1990,Soukous
1990,Kizomba
1976,Funk
1976,Music of Argentina
1976,Latin pop
2005,Contemporary Christian music
2005,Contemporary worship music
1955,Pop music
1955,Rock music
2004,Soul music
2004,Hip hop soul
2004,Contemporary R&B
1995,Heavy metal music
1995,Indie rock
1995,Shoegazing
1995,Post-hardcore
1995,Experimental rock
1999,Gangsta rap
1999,Southern hip hop
1999,Hip hop music
1995,Pop music
1995,Contemporary R&B
1995,Hip hop music
2012,Hip hop music
2007,Hip hop music
1996,Country music
1981,Contemporary Christian music
2006,Country music
1984,Hard rock
1984,Southern rock
1984,Blues rock
2009,Hip hop music
2009,Trap music
1989,Heavy metal music
1989,Hard rock
1990,Playback singer
1969,Blues
1990,Britpop
1990,Alternative rock
1990,Shoegazing
1990,Dream pop
1990,Space rock
1990,Neo-psychedelia
1986,Rock music
1986,Indie rock
1967,Pop music
1980,Pop music
1980,Rock music
1980,Alternative rock
1980,Power pop
1980,Baroque pop
2005,Trance music
1971,Heavy metal music
1971,Progressive rock
1971,Hard rock
1971,Blues rock
1950,Rhythm and blues
1950,Doo-wop
1979,Experimental music
2006,Rhythm and blues
2006,Indie rock
1965,Pop music
1965,Rock and roll
1980,Contemporary R&B
1977,Country music
1977,Folk music
1977,Jazz
1976,Country music
1976,Pop music
1976,Rock music
1984,Dance music
1984,Popular music
1975,Rock music
1975,World music
1975,New-age music
1975,Acoustic music
1989,Rockabilly
1989,Indie pop
1989,Baroque pop
1989,Easy listening
1948,Traditional pop music
1948,Swing music
1972,Punk rock
1972,Rock and roll
2004,Heavy metal music
2004,Progressive rock
2004,Progressive metal
1960,Punk rock
1960,Progressive rock
1960,Psychedelic music
2003,Folk rock
2003,Alternative country
2003,Acoustic music
1993,Black metal
1993,Neoclassical dark wave
1993,Industrial metal
1993,Dark ambient
1993,Electronic music
1695,Baroque music
1975,Punk rock
1975,Hard rock
1957,Rock and roll
1957,Rhythm and blues
1957,Country rock
1957,Americana (music)
1980,Alternative rock
1980,Soft rock
1980,Pop rock
1984,Pop rock
1986,Industrial rock
1986,Alternative rock
1986,Alternative metal
1986,Industrial metal
1986,Post-grunge
1980,Rock music
2002,Jazz
2002,Standard (music)
2000,British hip hop
2000,Grime music
2000,Dance music
1964,Psychedelic rock
1964,Art rock
1964,Progressive rock
1964,Hard rock
1964,Acid rock
1964,Blues rock
1991,Folk music
1991,Singer-songwriter
1960,Psychedelic rock
1960,Progressive rock
1960,Jazz fusion
1960,Canterbury scene
1960,Experimental rock
1975,Gospel music
1963,Country music
1963,Southern gospel
1959,Disco
1959,Pop music
1959,Rhythm and blues
1959,Soul music
2000,Indie pop
2000,Lo-fi music
1970,Blues
1970,Folk music
1970,Rock music
1967,Folk music
1967,Hard rock
1967,Alternative rock
1967,Folk rock
1967,Electric folk
1967,Acoustic music
1962,Psychedelic rock
1962,Art rock
1962,Progressive rock
1962,Experimental rock
1962,Electronic music
1962,Jazz
1979,Progressive rock
1979,Folktronica
1979,Experimental music
1985,Alternative metal
1985,Industrial metal
1985,Neue Deutsche Härte
1986,Punk rock
1986,Hardcore punk
1986,Alternative rock
1986,Alternative metal
1986,Dark ambient
1986,Post-hardcore
1986,Experimental rock
2010,Nerdcore
2005,Heavy metal music
2005,Glam rock
2005,Hard rock
2005,Glam metal
1961,Folk rock
1961,Blues rock
1965,Blues
1965,Funk
1965,Soul music
1965,Folk rock
1996,Novelty song
1996,Comedy music
1987,Heavy metal music
1987,Hard rock
1987,Instrumental rock
1987,Jazz fusion
1987,Blue-eyed soul
1987,Blues rock
1987,Pop rock
1987,Funk rock
2005,Heavy metal music
2005,Alternative metal
2005,Hip hop music
2005,Seastep
1981,Country music
2007,Hiplife
2007,Contemporary R&B
1986,West Coast hip hop
1986,Hip hop music
1977,Heavy metal music
1977,Hard rock
1977,Glam metal
1990,Reggae
2009,Pop music
2009,Electropop
1998,Christian alternative rock
1998,Christian rock
1998,Contemporary Christian music
1998,Contemporary worship music
1985,Pop music
1985,Dance-pop
1985,Blue-eyed soul
1970,Jazz
1970,Swing (jazz performance style)
1966,Country music
1966,Folk music
1966,Pop music
1966,Rock music
1980,Christian rock
1980,Southern rock
1956,Blues
1956,Folk music
1956,Country rock
1956,Folk rock
1956,Art rock
1956,Progressive rock
1956,Pop rock
2005,Hard rock
1980,Country music
1980,Rock music
1980,Jazz
1990,Pop music
1990,Rock music
1990,Adult album alternative
1965,Blues
1965,Christian rock
1965,Hard rock
1965,Jazz fusion
1965,Blues rock
1967,Blues
1986,Rock music
1986,Contemporary Christian music
1986,Punk rock
1986,Indie rock
1986,Post-hardcore
1986,Garage punk
1986,Post-punk
2002,Jazz
1985,Rhythm and blues
1985,West Coast blues
1985,Electric blues
1960,Pop music
1993,Punk rock
1993,Rock and roll
1993,Ska
1993,Synthpop
2007,Britpop
1990,Country music
1990,Rockabilly
1970,Rock music
1970,Traditional pop music
1964,Psychedelic rock
1964,Rock and roll
1964,Hard rock
1964,Blues rock
1988,Country music
1988,Rock music
1988,Gospel music
1988,Folk rock
1988,Pop rock
1988,Contemporary R&B
1988,A cappella
1988,Celtic music
1971,Rock music
1971,Alternative country
2001,Hip hop music
2007,Pop music
2007,Rock music
2007,Acoustic music
1962,Rock music
1962,Hard rock
1962,Power pop
1996,Heavy metal music
1996,Hard rock
1992,Canadian country music
1993,Country music
1993,Country music
1969,Blues
1969,Pop music
1969,Rock music
1990,Indie rock
1990,Lo-fi music
1990,Britpop
1990,Indie rock
1990,Alternative rock
1990,Dance music
1988,Gospel music
1988,Traditional black gospel
1988,Urban contemporary gospel
1978,Pop music
1978,Rock music
1978,Rhythm and blues
1978,Jazz
2001,Rock music
1978,New jack swing
1991,Contemporary Christian music
1991,Gospel music
1991,Traditional black gospel
1991,Urban contemporary gospel
1991,Christian R&B
2011,Ambient music
2011,Electronic music
2011,Experimental music
2002,Rhythm and blues
2002,Neo soul
1963,Blues
1963,Rock music
1963,Jazz
2008,Deathcore
1978,Country music
1993,Pop music
1993,Latin music (genre)
1949,Country music
1949,Folk music
1949,Rock and roll
1949,Rockabilly
2006,Cumbia
1983,Pop music
1983,Alternative rock
1960,Country music
1960,Folk music
1960,Bluegrass music
1960,Gospel music
1950,Pop music
1986,Country music
1988,Heavy metal music
1988,Hard rock
1973,New wave music
1973,Post-punk
1997,New wave music
1997,Indie rock
1997,Post-punk revival
1999,Industrial rock
1983,Punk rock
1983,Rock and roll
1983,Alternative country
1983,Singer-songwriter
1993,Alternative rock
1993,Pop rock
1975,Manila Sound
2003,Contemporary R&B
2003,Hip hop music
1999,Pop music
2006,Hip hop music
2000,Country music
2000,Rock music
2000,Hip hop music
2001,Funk
2001,Pop music
2001,Latin music (genre)
2001,Jazz
2001,Jazz-Pop
2001,Chanson_Francaise
2008,J-pop
2004,Folk music
2004,Pop music
2004,Rock music
1989,J-pop
2005,Hip hop music
2005,Electronic dance music
1960,Soul music
1960,Tejano music
1960,Cumbia
1960,Latin music (genre)
1960,Music of Mexico
2010,J-pop
2011,J-pop
2010,J-pop
1975,Blues
1975,Hard rock
1975,Classical guitar
1975,Flamenco guitar
1975,Jazz guitar
2001,Pop music
2009,J-pop
2010,Pop music
2010,Rock music
2010,J-pop
2010,Electronic dance music
2008,Contemporary R&B
2008,Hip hop music
2008,Spoken word
1978,Punk rock
1978,Hardcore punk
1978,Hard rock
1978,Gothic rock
1978,Deathrock
1978,Skate punk
1988,Chutney Soca
1995,Reggae
1995,Reggae fusion
2007,Hip hop music
1998,Folk music
1998,Contemporary Christian music
1924,Old-time music
2011,Indie rock
2011,Alternative rock
1994,Hip hop music
2011,Pop music
2010,J-pop
2008,Reggae
2008,Jewish hip hop
2008,Jazz
1972,Pop music
1998,Punk rock
1998,Rock music
1998,Electronica
1998,Alternative rock
1998,J-pop
1998,Experimental rock
1998,Jazz
1957,Pop music
1957,Rock music
2007,Pop music
2007,Rhythm and blues
2014,J-pop
1973,Pop music
1973,Rock music
1973,Reggae
2008,J-pop
1970,Folk rock
1970,Proto-punk
2012,J-pop
2003,Pop music
2010,Electronic music
2010,Psychedelic music
2010,Experimental music
2007,Country music
2007,Soul music
2007,Southern soul
1990,Rock music
1990,Alternative rock
1990,Pop rock
2005,Playback singer
1986,Folk music
1986,Pop music
1986,Rock music
1986,Soul music
1970,Folk music
1977,Folk music
1977,Celtic music
1969,Country music
1969,Pop music
1969,Soft rock
1969,Indigenous music of North America
1969,Adult contemporary music
1989,Pop music
1989,Rhythm and blues
1989,Pop rock
2003,Country music
2003,Folk music
2003,Bluegrass music
2003,Americana (music)
1966,Psychedelic rock
1966,Pop music
1966,Rock music
1966,Tropicália
1966,Música popular brasileira
1984,Indie rock
1984,Alternative rock
1975,Country music
1975,Folk music
1966,Reggae
1920,Rhumba
1920,Zarzuela
1996,Alternative rock
1996,Pop rock
1950,Laïko
1997,Pop music
1970,Country music
1957,Rock and roll
1957,Chicano rock
1991,Hindustani classical music
2001,Indian classical music
1993,Pop music
2001,Alternative rock
2001,Pop punk
2001,Indie pop
1992,Hip hop music
2010,Pop music
2010,Western music (North America)
2010,Indian classical music
2010,Filmi
2011,Sufism
1975,Dhrupad
1975,Hindustani classical music
2001,Crossover music
2001,Adult contemporary music
1984,Emo
1984,Indie rock
1984,Alternative rock
1984,Power pop
1984,Pop punk
2005,Hip hop music
2003,Christian hip hop
2003,Urban contemporary gospel
1992,Hip hop music
1977,Country music
1992,Horrorcore
1992,Rap rock
1992,Hip hop music
1992,Underground music
2008,Soul music
2008,Hip hop music
2008,Underground hip hop
1983,Country music
1983,Folk music
1983,Western music (North America)
1983,Popular music
1924,Folk music
1924,Raga
1924,Music of Sri Lanka
1969,Pop music
1961,Pop music
1961,Soul music
1961,Rockabilly
2002,Contemporary Christian music
1960,Blues
1960,Garage rock
1997,Hip hop music
1959,Punk rock
1959,Indie rock
1959,Power pop
1959,Pop rock
1959,Experimental rock
1959,Low fidelity
1990,Carnatic music
2012,Blues
2012,Folk music
2012,Progressive house
2008,Pop music
2008,Rock music
2008,Electronica
2008,Dance-pop
2008,Electro house
2008,Dance music
1991,Gangsta rap
1991,Hardcore hip hop
1991,Hip hop music
2012,Hip hop music
2004,Acid jazz
2004,Soft rock
2004,Contemporary R&B
2003,Pop rock
2003,Indie folk
2003,Singer-songwriter
2008,Flamenco
2008,Punk rock
2008,Post-rock
2008,Acoustic guitar
2012,Electropop
2012,Dance
2012,EDM
1989,Hip hop music
2000,Music of Myanmar
2002,Rhythm and blues
2002,Soul music
2002,Hip hop music
1967,Rock music
1993,Sufi_Music
1993,Spiritual_Music
1970,Country music
1970,Folk music
2004,Rock music
2004,Punjabis
2004,Sufism
2004,Indian pop
1910,Country blues
2005,Rhythm and blues
2005,Hip hop music
1983,Arabic music
2009,Pop music
1998,Folk music
1998,Indie rock
1998,Indie pop
2000,Contemporary Christian music
1995,Folk music
1995,Pop music
1995,Rock music
2012,Pop music
2012,Soul music
1990,Art rock
1990,Stoner rock
1990,Post-punk
2012,Contemporary Christian music
2012,Contemporary worship music
2011,Pop music
2011,Rhythm and blues
2011,Soul music
2012,Country music
1989,Folk rock
1989,Shoegazing
1989,Dream pop
1989,Indie pop
1989,Experimental rock
1998,Popular music
2012,Drum and bass
2012,House music
2012,Pop music
2012,Deep house
2012,Electro house
2012,Jazz
1999,Disco
1999,Pop music
1999,Rhythm and blues
1999,Dubstep
1999,Jazz
1999,Musical theatre
1995,Country music
1994,House music
1994,Pop music
1994,Vocal trance
1994,Techno
2003,Pop music
2002,Country music
2002,Soul music
2002,Hard rock
2002,Contemporary Christian music
2002,Pop rock
2002,Country pop
2002,Country music
2010,Folk music
2010,Indie rock
2010,Indie folk
2010,Scottish folk music
1974,Country music
1974,Pop music
1974,Rock music
2000,Indie rock
2000,Anti-folk
2000,Psychedelic pop
2000,Acoustic music
2011,Dance-pop
2011,Teen pop
2011,Pop rock
2004,Folk music
1992,Drum and bass
1992,House music
1992,Breakbeat hardcore
1992,Rave music
1992,Eurodance
1992,Dubstep
1992,Techno
1992,Dance music
2012,Country rock
1974,Rhythm and blues
1974,Jazz fusion
1974,Neo soul
1974,Pop rock
1980,Punk rock
1980,Rock music
1980,Electronica
1980,Raï
1980,Techno
1980,Dance music
1980,Chaabi (Algeria)
1980,Rumba
2011,Pop music
2011,Rock music
1992,Rhythm and blues
1992,Soul music
2003,Pop-folk
1992,Progressive rock
1992,Alternative rock
1992,Independent music
2000,Folk music
2000,Electronic music
1964,Rock music
1964,Jazz fusion
1998,Alternative hip hop
1998,Underground hip hop
1986,Country music
1967,Pop music
1967,Pop rock
1967,Jazz
1967,Church music
1975,Blues
1975,Folk music
1975,Pop music
1975,Americana (music)
1999,Alternative rock
1999,Latin rock
1999,Pop rock
1995,Rock music
1995,Eurodance
1995,Pop rock
2006,Pop music
2012,Country music
2012,Country pop
2011,Pop music
2003,Heavy metal music
2003,Art rock
2003,Progressive metal
2003,Hard rock
1992,Hip hop music
1983,New wave music
1983,Soft rock
1983,Adult contemporary music
2008,Pop music
1980,Funk
1980,Rhythm and blues
1980,Post-disco
1980,Boogie (genre)
1941,Vallenato
1982,Rock music
2010,Pop music
2010,Soul music
2010,Contemporary R&B
2010,Dance music
2010,Urban contemporary
1980,Heavy metal music
1980,Pop music
1980,Rock music
1980,Jazz fusion
1980,Jazz
1980,Music of Brazil
1976,Music of Latin America
1976,Vallenato
2010,New wave music
2010,Gothic rock
2010,Electronic music
2010,Chicano rock
1990,Blues
1990,Flamenco
