year, genre 
1970,Pop music
1970,Music of Greece
1970,Laika
1991,Death metal
1991,Thrash metal
1991,Melodic death metal
1979,Pop music
1985,Rhythm and blues
1985,Soca music
1985,Hip hop music
1992,Alternative rock
1992,Pop rock
1992,Electronic music
1995,Contemporary Christian music
1995,Gospel music
1995,Traditional black gospel
1995,Urban contemporary gospel
1960,Electric blues
1960,Texas blues
1980,Soul music
1980,Contemporary R&B
1990,Rhythm and blues
1990,Contemporary Christian music
1990,Gospel music
1990,Contemporary worship music
1990,New jack swing
1990,Urban contemporary gospel
2003,Hard rock
2003,Gothic rock
2003,Symphonic metal
2003,Pop rock
2003,Gothic metal
2003,Album-oriented rock
2007,Gothic rock
2007,Synthpop
2007,Dark wave
1995,Pop music
1995,Contemporary R&B
1995,Music of the Philippines
1996,Dance-pop
1996,Latin pop
1996,Freestyle music
2003,Ballad
2002,Pop music
2002,Eurodance
1980,Pop music
1980,Dance music
1979,Alternative rock
1979,Funk metal
1979,Ska punk
1979,Spoken word
1996,Folk music
2004,Rhythm and blues
1989,Pop music
1996,Hip hop music
2013,Alternative rock
2013,Electropop
2013,Pop rock
1979,Soul music
1979,Neo soul
1995,Bhangra (music)
1995,Indian pop
1971,Rock and roll
1971,Hard rock
1971,Blues rock
2005,Blues
2005,Folk music
2005,Rock music
2005,Acoustic music
1994,Buddhist music
1994,Buddhist chant
1989,Punk rock
1989,Alternative rock
1989,Folk rock
1996,House music
1996,Pop music
1996,Soul music
1996,Synthpop
1996,Eurodance
1996,Pop rock
1990,Pop music
1990,Spiritual (music)
1999,Pop music
2010,Pop music
2010,Rock music
2011,Pop music
2003,Pop music
2003,Contemporary R&B
2003,Hip hop music
2008,Folk music
2008,Reggae
2008,Soul music
1996,Gothic metal
1956,Pop music
1997,Country music
1991,House music
1991,Hi-NRG
1991,Dance-pop
1991,Eurodance
1969,Pop music
1969,Pop rock
1997,House music
1997,Trance music
1997,UK garage
1950,Country music
1950,Pop music
1979,Alternative rock
1979,Post-punk
1976,Disco
1976,Pop music
1934,Bebop
1934,Vocal jazz
1981,Country music
1969,Country music
1969,Pop music
1969,Rock music
1969,Rhythm and blues
1969,Soul music
1969,Jazz
1969,Dance music
1969,Pop music
1969,Jazz
1990,Ghazal
1997,Pop music
1997,Pop rock
1997,Dance music
1979,Disco
1979,Rhythm and blues
2006,Urban contemporary gospel
2006,Christian music
